Time,Room,Session,Gear,Tech,Day
4:30 - 5:30 PM,Bayside Lounge,Celebrating Diversity in Law Reception,,,Thursday
5:30 - 6:30 PM,Marriott Grand Ballroom Terrace,Speaker Reception,,,Thursday
5:30 - 6:30 PM,South Pool Patio,Next Generation Reception,,,Thursday
,,Friday,,,
7:00 - 7:45 AM,Grand Ballroom 5-9,Breakfast,,,Friday
9:30 - 10:30 AM,San Diego Ballroom B,General Session 06 | Current Issues in Property and Liability Insurance: Mind the Gaps Between Your Insurer’s Policy Language and the Coverage You Want in Your Lease  ,,,Friday
9:30 - 10:30 AM,Grand Ballroom 10-11,Workshop 16 | Redevelopment and Repositioning of Empty Anchor Boxes: Where Do We Go From Here?,,,Friday
9:30 - 10:30 AM,Grand Ballroom 12-13,Workshop 17 | Repair and Maintenance Provisions: Could Your Standard Lease Provisions Use a Fresh Coat of Paint?,,,Friday
9:30 - 10:30 AM,San Diego Ballroom A,Specialty CLE 07 | Mental Wellness and Job Stress: I Think That I Am Handling It Well?,,,Friday
9:30 - 10:30 AM,Rancho Sante Fe,"Core Concept 06 | Other Terms in PSAs: Conditions and Closing and Reps, Oh My!",,,Friday
9:30 - 10:30 AM,San Diego Ballroom C,"Mock Negotiation 05 | Negotiating Winning Exit Strategies for Commercial Leases — “Know When to Hold ’Em, Know When to Fold ’Em”",,,Friday
9:30 - 10:30 AM,Presidio 1,Peer to Peer 09 | Construction Work Letters and Tenant Improvement Allowances: Challenges of Tenant Build Outs,,,Friday
9:30 AM,Grand Ballroom 2,ICSC+U.S. LAW Committee Meeting Set-up ,,,Friday
10:45 - 11:45 AM,Grand Ballroom 10-11,Workshop 18 | Common Area Controls: The Power Struggle,,,Friday
10:45 - 11:45 AM,Grand Ballroom 12-13,Workshop 19 | Co-Tenancy Conundrums: Pitfalls That Have Gotten Both Landlords and Tenants in Trouble,,,Friday
10:45 - 11:45 AM,Rancho Sante Fe,Core Concept 07 | Common Ancillary Real Estate Documents: The Best of All the Rest,,,Friday
10:45 - 11:45 AM,San Diego Ballroom A,"Fireside Chat 04 | What’s Keeping You Up at Night, Really?",,,Friday
10:45 - 11:45 AM,Presidio 1,Peer to Peer 10 | Casualty Restoration Obligations and Termination Rights: When Disaster Strikes,,,Friday
12:00 - 1:00 PM,Presidio 2,Past Chairs Council Meeting,,,Friday
12:00 - 1:00 PM,Grand Ballroom 10-11,Workshop 20 | Guaranty Obligations: Bad Boy Carve Outs and Beyond; Which Partner Is Responsible for What?,,,Friday
12:00 - 1:00 PM,Grand Ballroom 12-13,Workshop 21 | Ground Leasing: How to Make the Best of Getting Grounded,,,Friday
12:00 - 1:00 PM,Rancho Sante Fe,Core Concept 08 | Boilerplate Provisions: Nothing Is Boilerplate…or Is It?,,,Friday
12:00 - 1:00 PM,San Diego Ballroom C,"Mock Negotiation 06 | Sounds, Vibrations and Odors: Do You Hear What I Hear, Feel and Smell?",,,Friday
12:00 - 1:00 PM,Presidio 1,Peer to Peer 11 | PSA Negotiations: Tricks to Negotiating a “Fair” Purchase and Sale Agreement,,,Friday
1:15 - 4:00 PM,Grand Ballroom D,"ICSC+U.S. LAW Committee
Meeting & Lunch",,,Friday
